類型,專頁,活動名稱,活動日期,活動地點,報名日期,報名狀態,服務學習,SDGs,多元學習護照時數,UCAN共通職能,ActID
線上報名,教務處,校級教學研討會-4/30 AI在教學課程中的實際應用,2025.04.30(三) 下午 12:30 ~ 2025.04.30(三) 下午 01:50,60105,2025.04.15(二) ~ 2025.04.27(日) 名額已滿,已報名人數：90 名額限制：90,無,04優質教育,無,無,14553
線上報名,服務學習,Arise & Shine志願服務：5/16寶貝潛能發展中心,2025.05.16(五) 上午 09:00 ~ 2025.05.16(五) 下午 12:00,集合地點：生命泉關懷協會(320桃園市中壢區興仁路二段67巷28號),2025.04.15(二) ~ 2025.05.09(五) 線上報名,已報名人數：5 名額限制：6 候補人數：0,3 社區服務(活動時數) Community Service,04優質教育,無,無,14552
線上報名,服務學習,Arise & Shine志願服務：5/9寶貝潛能發展中心,2025.05.09(五) 上午 09:00 ~ 2025.05.09(五) 下午 12:00,集合地點：生命泉關懷協會(320桃園市中壢區興仁路二段67巷28號),2025.04.15(二) ~ 2025.05.02(五) 線上報名,已報名人數：6 名額限制：6 候補人數：0,3 社區服務(活動時數) Community Service,04優質教育,無,無,14551
線上報名,服務學習,Arise & Shine志願服務：5/2寶貝潛能發展中心,2025.05.02(五) 上午 09:00 ~ 2025.05.02(五) 下午 12:00,集合地點：生命泉關懷協會(320桃園市中壢區興仁路二段67巷28號),2025.04.15(二) ~ 2025.04.25(五) 線上報名,已報名人數：6 名額限制：6 候補人數：0,3 社區服務(活動時數) Community Service,04優質教育,無,無,14550
線上報名,學務處,"UCAN Assessment and Explanation Workshop,April 30國際生UCAN評量解測說明會4/30",2025.04.30(三) 下午 12:00 ~ 2025.04.30(三) 下午 01:00,R70109,2025.04.15(二) ~ 2025.04.21(一) 線上報名,已報名人數：10 名額限制：40 候補人數：0,1 生涯就業(課程時數) Career Planning,10減少不平等,無,無,14549
線上報名,軍訓室,113學年畢典及高中生參訪等襄儀接待人員4-5月份訓練及服務活動（限有多元學習護照同學報名參加，報名前請先到教官室詢問周正中教官相關活動內容，本活動認列多元學習時數）,2025.04.15(二) 下午 05:30 ~ 2025.05.06(二) 下午 09:30,2004教室,2025.04.15(二) ~ 2025.04.18(五) 線上報名,已報名人數：5 名額限制：20,無,"04優質教育,05性別平權,09工業化、創新及基礎建設,11永續城鄉,12責任消費及生產,17多元夥伴關係",28小時,"溝通表達,持續學習,人際互動,團隊合作,問題解決,工作責任及紀律",14548
線上報名,學務處,義工培訓課程｜最受歡迎的四門溝通必修課,2025.05.07(三) 下午 06:10 ~ 2025.05.07(三) 下午 08:00,R3104,2025.04.14(一) ~ 2025.04.30(三) 線上報名,已報名人數：18 名額限制：40,2 專業課程(課程時數) Professional Course,04優質教育,無,"溝通表達,持續學習",14545
線上報名,校長室,全校教師說明會,2025.04.23(三) 下午 12:10 ~ 2025.04.23(三) 下午 02:00,六館3樓 / 60312教室,2025.04.14(一) ~ 2025.04.18(五) 線上報名,已報名人數：122 名額限制：180,無,04優質教育,無,無,14543
線上報名,學務處,【特讚總動員(七)生職涯活動籌備會】(限職涯特讚隊隊員報名),2025.05.02(五) 下午 12:00 ~ 2025.05.02(五) 下午 01:00,R8306會議室,2025.04.14(一) ~ 2025.04.30(三) 線上報名,已報名人數：1 名額限制：22 候補人數：0,無,04優質教育,1小時,"溝通表達,持續學習,人際互動,團隊合作,問題解決,創新,工作責任及紀律",14541
線上報名,學務處,【特讚總動員(六)生職涯活動籌備會】(限職涯特讚隊隊員報名),2025.04.25(五) 下午 12:00 ~ 2025.04.25(五) 下午 01:00,R8306會議室,2025.04.14(一) ~ 2025.04.24(四) 線上報名,已報名人數：1 名額限制：22 候補人數：0,無,04優質教育,1小時,"溝通表達,持續學習,人際互動,團隊合作,問題解決,創新,工作責任及紀律",14540
