類型,專頁,活動名稱,活動日期,活動地點,報名日期,報名狀態,服務學習,SDGs,多元學習護照時數,UCAN共通職能,ActID
線上報名,資訊學院,"5/7資院EMI中心《看電影學英文》""Learn English with Movies""",2025.05.07(三) 下午 12:10 ~ 2025.05.07(三) 下午 01:00,1102,2025.03.03(一) ~ 2025.05.06(二) 線上報名,已報名人數：143 名額限制：80 候補人數：63,無,99以上皆無相關,無,無,14013
線上報名,資訊學院,"4/30資院EMI中心《看電影學英文》""Learn English with Movies""",2025.04.30(三) 下午 12:10 ~ 2025.04.30(三) 下午 01:00,1102,2025.03.03(一) ~ 2025.04.29(二) 線上報名,已報名人數：138 名額限制：80 候補人數：58,無,99以上皆無相關,無,無,14012
線上報名,資訊學院,"4/23資院EMI中心《看電影學英文》""Learn English with Movies""",2025.04.23(三) 下午 12:10 ~ 2025.04.23(三) 下午 01:00,1102,2025.03.03(一) ~ 2025.04.22(二) 線上報名,已報名人數：126 名額限制：80 候補人數：47,無,99以上皆無相關,無,無,14011
線上報名,學務處,桃園市政府就業職訓服務處中壢就業中心3月起進駐本校，免費提供學生就業市場資訊、職訓服務、就業促進措施及就業媒合等相關服務,2025.03.05(三) 下午 02:00 ~ 2025.06.18(三) 下午 04:30,R8201,2025.02.22(六) ~ 2025.06.18(三) 線上報名,已報名人數：2 名額限制：100,無,99以上皆無相關,無,無,13990
線上報名,秘書室公共事務暨校友服務中心,元智電子報編輯培訓課程,2025.05.19(一) 上午 12:00 ~ 2025.05.29(四) 上午 12:00,60301室,2025.02.21(五) ~ 2025.02.21(五) 報名已截止,已報名人數：1 名額限制：1,無,99以上皆無相關,30小時,"溝通表達,持續學習,工作責任及紀律,資訊科技應用",13989
線上報名,秘書室公共事務暨校友服務中心,元智電子報編輯培訓課程,2025.04.21(一) 上午 12:00 ~ 2025.04.29(二) 上午 12:00,60301室,2025.02.21(五) ~ 2025.02.21(五) 報名已截止,已報名人數：1 名額限制：1,無,99以上皆無相關,30小時,"溝通表達,持續學習,工作責任及紀律,資訊科技應用",13988
線上報名,太極拳社,1132太極拳社熱烈招生中,2025.02.26(三) 上午 12:00 ~ 2025.06.25(三) 上午 12:00,體育館一樓舞蹈教室,2025.02.20(四) ~ 2025.02.28(五) 報名已截止,已報名人數：2 名額限制：20,無,無,無,無,13968
線上報名,圖書資訊服務處,113下學年度 圖書館服務學習活動 113-2 Library Service-learning Activity,2025.03.04(二) 下午 02:00 ~ 2025.06.06(五) 下午 09:00,圖書館,2025.02.24(一) ~ 2025.02.26(三) 報名已截止,已報名人數：62 名額限制：30 候補人數：32,18 愛校服務(活動時數) Campus-loving Service,99以上皆無相關,無,無,13940
線上報名,軍訓室,113學年度第2學期（4月份）「校園安全宣導教育及巡查」學生活動服務學習（多元學習護照）,2025.04.01(二) 上午 08:00 ~ 2025.04.30(三) 下午 05:00,R8204,2025.03.24(一) ~ 2025.03.28(五) 報名已截止,已報名人數：3 名額限制：10,無,"01終結貧窮,04優質教育,05性別平權,10減少不平等,11永續城鄉,17多元夥伴關係",30小時,"溝通表達,持續學習,人際互動,團隊合作,問題解決,創新,工作責任及紀律,資訊科技應用",13935
演講,學務處,113-2學期生 / 職涯活動預告,2025.03.03(一) 下午 12:00 ~ 2025.05.29(四) 下午 02:00,元智大學,,,無,無,無,無,13915
線上報名,學務處,【1140423 UCAN解測說明會 0226/0326/0423請擇一參加】114年度多元學習護照首領金認證必備條件，請務必報名參加(限定符合多元學習護照資格者),2025.04.23(三) 下午 12:00 ~ 2025.04.23(三) 下午 02:00,R70105,2025.02.10(一) ~ 2025.04.20(日) 線上報名,已報名人數：110 名額限制：115 候補人數：0,無,99以上皆無相關,2小時,"溝通表達,持續學習,人際互動,問題解決",13904
線上報名,軍訓室,113-2學期協助宿舍美化環境----歡迎同學報名，請報名後並到宿服組登記來的時間,2025.02.17(一) 上午 08:00 ~ 2025.06.30(一) 下午 05:00,學生宿舍,2025.02.05(三) ~ 2025.06.01(日) 線上報名,已報名人數：96 名額限制：110,18 愛校服務(活動時數) Campus-loving Service,99以上皆無相關,無,無,13881
線上報名,通識教學部,【歡迎踴躍報名】元智大學雙語數位學伴計畫招募英語大學伴，即日起報名至額滿為止！,2025.03.03(一) 下午 01:00 ~ 2025.05.30(五) 下午 06:00,線上報名https://ray3053.pse.is/6zfvbt,2025.01.17(五) ~ 2025.02.10(一) 報名已截止,已報名人數：2 名額限制：30,無,無,無,無,13869
線上報名,軍訓室,113學年度第2學期「交通安全宣導教育及巡查」學生活動服務學習（不適用多元學習護照）,2025.02.17(一) 上午 09:00 ~ 2025.06.13(五) 下午 04:00,R8204及校園各處,2025.02.10(一) ~ 2025.06.06(五) 線上報名,已報名人數：92 名額限制：200,18 愛校服務(活動時數) Campus-loving Service,"03健康與福祉,04優質教育,05性別平權,11永續城鄉",無,無,13866
線上報名,管理學院,【職涯點數登錄】113學年自我分析報告(3點),2025.01.09(四) 上午 10:00 ~ 2025.07.31(四) 下午 12:00,R60503,2025.01.08(三) ~ 2025.01.08(三) 報名已截止,已報名人數：0,無,99以上皆無相關,無,無,13841
